"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Potty","2024-09-05 09:38",,,,,"Pee",
"Sleep","2024-09-05 06:34","2024-09-05 09:25","02:50",,,,
"Diaper","2024-09-05 06:10",,,,,"Poo",
"Feed","2024-09-05 05:19","2024-09-05 06:01","00:41","00:41R","Breast","Null l",
"Diaper","2024-09-05 05:13",,,,,"Pee",
"Sleep","2024-09-05 01:54","2024-09-05 05:04","03:10",,,,
"Feed","2024-09-05 00:58","2024-09-05 01:24","00:26","Null r","Breast","00:26L",
"Feed","2024-09-05 00:45",,,"Breast Milk","Bottle","45ml",
"Diaper","2024-09-05 00:31",,,,,"Both",
"Sleep","2024-09-04 21:00","2024-09-05 00:30","03:30",,,,
"Feed","2024-09-04 20:09","2024-09-04 20:23","00:14","Null r","Breast","00:14L",
"Diaper","2024-09-04 18:59",,,,,"Poo",
"Feed","2024-09-04 18:15","2024-09-04 18:34","00:19","00:19R","Breast","Null l",
"Sleep","2024-09-04 16:39","2024-09-04 18:09","01:30",,,,
"Potty","2024-09-04 16:27",,,,,"Pee",
"Sleep","2024-09-04 15:03","2024-09-04 16:27","01:23",,,,
"Feed","2024-09-04 14:14","2024-09-04 14:43","00:28","Null r","Breast","00:28L",
"Feed","2024-09-04 13:40",,,"Breast Milk","Bottle","75ml",
"Diaper","2024-09-04 13:03",,,,,"Pee",
"Sleep","2024-09-04 11:55","2024-09-04 12:54","00:59",,,,
"Sleep","2024-09-04 10:56","2024-09-04 11:32","00:36",,,,
"Diaper","2024-09-04 10:10",,,,,"Poo",
"Feed","2024-09-04 09:34","2024-09-04 09:50","00:16","Null r","Breast","00:16L",
"Diaper","2024-09-04 09:30",,,,,"Pee",
"Sleep","2024-09-04 06:47","2024-09-04 08:59","02:11",,,,
"Feed","2024-09-04 06:28","2024-09-04 06:38","00:10","00:10R","Breast","Null l",
"Sleep","2024-09-04 03:44","2024-09-04 06:20","02:35",,,,
"Feed","2024-09-04 02:59","2024-09-04 03:12","00:13","Null r","Breast","00:13L",
"Feed","2024-09-04 02:17","2024-09-04 02:28","00:11","Null r","Breast","00:11L",
"Diaper","2024-09-04 02:02",,,,,"Both",
"Feed","2024-09-04 01:36","2024-09-04 02:00","00:24","00:24R","Breast","Null l",
"Sleep","2024-09-03 21:30","2024-09-04 01:34","04:04",,,,
"Feed","2024-09-03 20:32","2024-09-03 21:07","00:35","Null r","Breast","00:35L",
"Sleep","2024-09-03 19:55","2024-09-03 20:32","00:36",,,,
"Diaper","2024-09-03 19:40",,,,,"Both",
"Feed","2024-09-03 17:57","2024-09-03 18:37","00:40","00:40R","Breast","Null l",
"Diaper","2024-09-03 17:51",,,,,"Pee",
"Sleep","2024-09-03 16:28","2024-09-03 17:37","01:08",,,,
"Feed","2024-09-03 15:30","2024-09-03 16:26","00:55","Null r","Breast","00:55L",
"Potty","2024-09-03 15:28",,,,,"Both",
"Sleep","2024-09-03 13:35","2024-09-03 15:16","01:41",,,,
"Sleep","2024-09-03 12:42","2024-09-03 13:04","00:22",,,,
"Feed","2024-09-03 10:36","2024-09-03 11:42","01:06","00:46R","Breast","00:20L",
"Diaper","2024-09-03 10:10",,,,,"Poo",
"Diaper","2024-09-03 09:23",,,,,"Pee",
"Sleep","2024-09-03 08:15","2024-09-03 09:17","01:02",,,,
"Feed","2024-09-03 07:29","2024-09-03 08:09","00:39","Null r","Breast","00:39L",
"Diaper","2024-09-03 07:14",,,,,"Poo",
"Feed","2024-09-03 06:59","2024-09-03 07:12","00:13","Null r","Breast","00:13L",
"Diaper","2024-09-03 06:49",,,,,"Both",
"Sleep","2024-09-03 04:29","2024-09-03 06:47","02:17",,,,
"Feed","2024-09-03 03:51","2024-09-03 04:25","00:33","00:33R","Breast","Null l",
"Potty","2024-09-03 03:41",,,,,"Pee",
"Sleep","2024-09-02 23:28","2024-09-03 03:32","04:04",,,,
"Feed","2024-09-02 22:44","2024-09-02 23:02","00:17","00:17R","Breast","Null l",
"Diaper","2024-09-02 22:25",,,,,"Both",
"Feed","2024-09-02 22:00","2024-09-02 22:21","00:20","Null r","Breast","00:20L",
"Sleep","2024-09-02 20:09","2024-09-02 21:39","01:30",,,,
"Sleep","2024-09-02 19:22","2024-09-02 19:53","00:31",,,,
"Diaper","2024-09-02 18:57",,,,,"Pee",
"Feed","2024-09-02 18:21","2024-09-02 18:53","00:32","00:21R","Breast","00:10L",
"Sleep","2024-09-02 17:28","2024-09-02 18:02","00:34",,,,
"Feed","2024-09-02 17:09","2024-09-02 17:15","00:06","Null r","Breast","00:06L",
"Diaper","2024-09-02 16:53",,,,,"Both",
"Feed","2024-09-02 15:56",,,"Breast Milk","Bottle","45ml",
"Sleep","2024-09-02 14:21","2024-09-02 14:59","00:38",,,,
"Diaper","2024-09-02 13:20",,,,,"Both",
"Feed","2024-09-02 12:45","2024-09-02 13:15","00:29","Null r","Breast","00:29L",
"Sleep","2024-09-02 11:48","2024-09-02 12:44","00:55",,,,
"Diaper","2024-09-02 11:30",,,,,"Pee",
"Sleep","2024-09-02 10:45","2024-09-02 11:26","00:41",,,,
"Feed","2024-09-02 09:37","2024-09-02 10:11","00:34","00:34R","Breast","Null l",
"Diaper","2024-09-02 09:10",,,,,"Pee",
"Sleep","2024-09-02 06:57","2024-09-02 08:44","01:46",,,,
"Diaper","2024-09-02 06:23",,,,,"Poo",
"Feed","2024-09-02 05:41","2024-09-02 06:00","00:19","Null r","Breast","00:19L",
"Sleep","2024-09-02 04:22","2024-09-02 05:36","01:13",,,,
"Feed","2024-09-02 03:34","2024-09-02 04:09","00:35","00:35R","Breast","Null l",
"Diaper","2024-09-02 03:20",,,,,"Pee",
"Sleep","2024-09-01 23:50","2024-09-02 03:16","03:25",,,,
"Feed","2024-09-01 23:06","2024-09-01 23:48","00:41","Null r","Breast","00:41L",
"Diaper","2024-09-01 22:53",,,,,"Pee",
"Sleep","2024-09-01 22:30","2024-09-01 22:40","00:10",,,,
"Feed","2024-09-01 21:22","2024-09-01 22:11","00:48","00:48R","Breast","Null l",
"Diaper","2024-09-01 20:30",,,,,"Both",
"Feed","2024-09-01 19:44","2024-09-01 20:16","00:31","Null r","Breast","00:31L",
"Feed","2024-09-01 18:19","2024-09-01 18:47","00:28","00:28R","Breast","Null l",
"Sleep","2024-09-01 16:15","2024-09-01 18:12","01:57",,,,
"Diaper","2024-09-01 15:57",,,,,"Both",
"Feed","2024-09-01 14:13","2024-09-01 14:52","00:39","00:22R","Breast","00:16L",
"Feed","2024-09-01 12:51","2024-09-01 13:48","00:57","00:12R","Breast","00:45L",
"Sleep","2024-09-01 10:57","2024-09-01 12:33","01:36",,,,
"Diaper","2024-09-01 10:42",,,,,"Pee",
"Sleep","2024-09-01 09:40","2024-09-01 10:39","00:59",,,,
"Feed","2024-09-01 09:14","2024-09-01 09:33","00:19","00:19R","Breast","Null l",
"Feed","2024-09-01 08:20","2024-09-01 08:27","00:07","00:07R","Breast","Null l",
"Feed","2024-09-01 07:28","2024-09-01 07:51","00:23","Null r","Breast","00:23L",
"Diaper","2024-09-01 07:19",,,,,"Both",
"Sleep","2024-09-01 04:41","2024-09-01 07:12","02:31",,,,
"Feed","2024-09-01 03:35","2024-09-01 04:31","00:56","00:32R","Breast","00:23L",
"Potty","2024-09-01 03:28",,,,,"Pee",
"Sleep","2024-08-31 23:15","2024-09-01 03:24","04:09",,,,
"Feed","2024-08-31 22:12","2024-08-31 23:10","00:58","00:25R","Breast","00:32L",
"Diaper","2024-08-31 22:00",,,,,"Both",
"Feed","2024-08-31 20:38","2024-08-31 20:50","00:12","00:07R","Breast","00:05L",
"Feed","2024-08-31 20:25",,,"Breast Milk","Bottle","60ml",
"Diaper","2024-08-31 20:19",,,,,"Pee",
"Sleep","2024-08-31 18:09","2024-08-31 20:11","02:02",,,,
"Feed","2024-08-31 17:17","2024-08-31 18:06","00:49","Null r","Breast","00:49L",
"Sleep","2024-08-31 15:59","2024-08-31 16:50","00:50",,,,
"Diaper","2024-08-31 15:08",,,,,"Pee",
"Feed","2024-08-31 14:24","2024-08-31 14:59","00:35","00:35R","Breast","Null l",
"Diaper","2024-08-31 14:15",,,,,"Both",
"Feed","2024-08-31 12:33","2024-08-31 13:16","00:43","Null r","Breast","00:43L",
"Diaper","2024-08-31 11:47",,,,,"Both",
"Feed","2024-08-31 11:02","2024-08-31 11:37","00:35","00:35R","Breast","Null l",
