"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Sleep","2024-08-14 11:27","2024-08-14 12:56","01:28",,,,
"Diaper","2024-08-14 11:11",,,,,"Pee",
"Feed","2024-08-14 09:52","2024-08-14 10:45","00:52","00:30R","Breast","00:22L",
"Sleep","2024-08-14 06:28","2024-08-14 09:35","03:07",,,,
"Feed","2024-08-14 06:06","2024-08-14 06:24","00:17","00:17R","Breast","Null l",
"Diaper","2024-08-14 05:35",,,,,"Poo",
"Feed","2024-08-14 04:50","2024-08-14 05:23","00:33","00:13R","Breast","00:20L",
"Sleep","2024-08-13 22:49","2024-08-14 04:47","05:58",,,,
"Diaper","2024-08-13 22:30",,,,,"Pee",
"Feed","2024-08-13 21:25","2024-08-13 21:49","00:23","00:23R","Breast","Null l",
"Feed","2024-08-13 20:53","2024-08-13 21:20","00:27","Null r","Breast","00:27L",
"Diaper","2024-08-13 20:00",,,,,"Both",
"Feed","2024-08-13 18:56","2024-08-13 19:28","00:31","00:31R","Breast","Null l",
"Sleep","2024-08-13 17:13","2024-08-13 18:42","01:29",,,,
"Diaper","2024-08-13 16:37",,,,,"Poo",
"Feed","2024-08-13 15:25","2024-08-13 16:08","00:42","00:12R","Breast","00:29L",
"Sleep","2024-08-13 14:24","2024-08-13 15:08","00:43",,,,
"Feed","2024-08-13 13:40","2024-08-13 13:49","00:09","00:09R","Breast","Null l",
"Diaper","2024-08-13 13:35",,,,,"Pee",
"Feed","2024-08-13 13:02","2024-08-13 13:13","00:11","00:11R","Breast","Null l",
"Feed","2024-08-13 12:39","2024-08-13 12:52","00:13","Null r","Breast","00:13L",
"Diaper","2024-08-13 12:30",,,,,"Both",
"Feed","2024-08-13 11:17","2024-08-13 12:05","00:48","00:25R","Breast","00:22L",
"Diaper","2024-08-13 11:10",,,,,"Pee",
"Sleep","2024-08-13 10:21","2024-08-13 10:57","00:35",,,,
"Feed","2024-08-13 09:04","2024-08-13 10:21","01:17","00:29R","Breast","00:47L",
"Diaper","2024-08-13 09:02",,,,,"Pee",
"Sleep","2024-08-13 08:04","2024-08-13 08:51","00:47",,,,
"Diaper","2024-08-13 07:58",,,,,"Pee",
"Feed","2024-08-13 06:36","2024-08-13 07:19","00:42","00:19R","Breast","00:23L",
"Diaper","2024-08-13 06:20",,,,,"Both",
"Sleep","2024-08-13 05:24","2024-08-13 06:12","00:48",,,,
"Feed","2024-08-13 04:08","2024-08-13 05:13","01:05","00:35R","Breast","00:29L",
"Sleep","2024-08-13 01:47","2024-08-13 04:05","02:18",,,,
"Feed","2024-08-13 00:24","2024-08-13 01:23","00:58","00:29R","Breast","00:29L",
"Sleep","2024-08-12 21:23","2024-08-13 00:12","02:49",,,,
"Feed","2024-08-12 21:03","2024-08-12 21:23","00:20","00:20R","Breast","Null l",
"Sleep","2024-08-12 20:47","2024-08-12 21:03","00:16",,,,
"Feed","2024-08-12 20:32","2024-08-12 20:46","00:14","00:14R","Breast","Null l",
"Feed","2024-08-12 19:13","2024-08-12 19:45","00:31","Null r","Breast","00:31L",
"Diaper","2024-08-12 18:33",,,,,"Pee",
"Sleep","2024-08-12 18:03","2024-08-12 18:28","00:25",,,,
"Feed","2024-08-12 17:05","2024-08-12 17:53","00:48","00:30R","Breast","00:18L",
"Diaper","2024-08-12 17:00",,,,,"Pee",
"Sleep","2024-08-12 16:20","2024-08-12 16:56","00:36",,,,
"Feed","2024-08-12 15:12","2024-08-12 16:01","00:48","Null r","Breast","00:48L",
"Diaper","2024-08-12 15:05",,,,,"Poo",
"Diaper","2024-08-12 14:43",,,,,"Pee",
"Sleep","2024-08-12 13:14","2024-08-12 14:38","01:23",,,,
"Feed","2024-08-12 11:57","2024-08-12 13:04","01:07","00:47R","Breast","00:20L",
"Sleep","2024-08-12 10:15","2024-08-12 10:38","00:23",,,,
"Feed","2024-08-12 08:54","2024-08-12 09:50","00:55","00:17R","Breast","00:38L",
